,jar_barcode,CRM_type,gross_mass,fill,date
0,%P%01CRM2QS,RRCT-22,483.2,100.0,"Oct. 30, 2023, 2:32 p.m."
1,%P%01CRM0YI,OREAS23B,490.5,100.0,Toolkit data
2,%P%01CRM0YP,OREAS-524,523.3,100.0,Toolkit data
3,%P%01CRM0Y4,OREAS-522,543.0,100.0,Toolkit data
4,%P%01CRM27F,Standard ID Not Set,489.3,99.36,Toolkit data
5,%P%01EX055A,Standard ID Not Set,473.2,100.0,Toolkit data
6,%P%01EX0553,Standard ID Not Set,465.88,100.0,Toolkit data
7,%P%01EX0540,RROREAS 237,554.1,100.0,"April 9, 2023, 11:54 a.m."
8,%P%01CRM15G,Standard ID Not Set,495.58,100.0,Toolkit data
