2024-04-05 15:31:31,05/04/2024 15:33:32,OREAS523,20240405.01_AD_HOC_AU,%P%01CRM1XP,475.3,100.0,gold,concentration,1.367,0.083,1.04,0.027,fire-assay,1.315,0.026,OREAS,523,Result OK,PAAU02,2024-04-05-15:24:01,0.078,Non-monitoring
2024-04-05 15:29:15,05/04/2024 15:31:05,OREAS62F,20240405.01_AD_HOC_AU,%P%01CRM334,487.73,100.0,gold,concentration,10.197,0.209,9.71,0.239,fire-assay,1.05,0.025,OREAS,62f,Result OK,PAAU02,2024-04-05-15:24:01,0.7282500000000001,Non-monitoring
2024-04-05 15:28:48,05/04/2024 15:30:38,OREAS502C,20240405.01_AD_HOC_AU,%P%01CRM335,517.48,100.0,gold,concentration,0.438,0.036,0.488,0.015,fire-assay,0.897,0.031,OREAS,502c,Result OK,PAAU02,2024-04-05-15:24:01,0.075,Non-monitoring
2024-04-05 15:28:19,05/04/2024 15:30:13,OREAS501C,20240405.01_AD_HOC_AU,%P%01CRM3C2,478.58,99.84,gold,concentration,0.137,0.028,0.221,0.007,fire-assay,0.619,0.032,OREAS,501c,Result OK,PAAU02,2024-04-05-15:24:01,0.05,Non-monitoring
2024-04-05 15:26:03,05/04/2024 15:28:04,OREAS522,20240405.01_AD_HOC_AU,%P%01CRM3E7,541.53,100.0,gold,concentration,0.679,0.063,0.574,0.018,fire-assay,1.183,0.031,OREAS,522,Result OK,PAAU02,2024-04-05-15:24:01,0.075,Non-monitoring
2024-04-05 15:25:37,05/04/2024 15:27:34,OREAS521,20240405.01_AD_HOC_AU,%P%01CRM3C1,522.14,100.0,gold,concentration,0.404,0.052,0.376,0.019,fire-assay,1.074,0.051,OREAS,521,Result OK,PAAU02,2024-04-05-15:24:01,0.075,Non-monitoring
2024-04-04 16:49:15,04/04/2024 16:51:10,RRG319-9,27080486,%P%01CRM3U1,525.47,100.0,gold,concentration,98.924,1.658,100.0,2.5,PhotonAssay Self-Certified PAAU02,0.989,0.025,GEOSTATS,G319-9,Result OK,PAAU02,2024-04-04-16:27:48,4.0,Active
2024-04-04 16:27:47,04/04/2024 16:29:37,RROREAS 237,27080486,%P%01CRM33S,498.36,100.0,gold,concentration,2.184,0.074,2.21,0.084,PhotonAssay Self-Certified PAAU02,0.988,0.038,OREAS,237,Result OK,PAAU02,2024-04-04-16:27:48,0.1657499999999999,Active
2024-04-04 16:07:40,04/04/2024 16:09:30,RRBLANK,27080486,%P%1000SS78,514.3,100.0,gold,concentration,-0.001,0.005,0.0,0.005,PhotonAssay Self-Certified PAAU02,-inf,inf,BLANK,BLANK,Result OK,PAAU02,2024-04-04-08:58:03,,Active
2024-04-04 15:43:08,04/04/2024 16:28:52,RROREAS 264,27080485,%P%01CRM1XT,415.9,99.8,gold,concentration,0.291,0.03,0.309,0.032,PhotonAssay PAAU02,0.943,0.104,OREAS,264,Result OK,PAAU02,2024-04-04-16:27:48,0.075,Passive
2024-04-04 15:22:07,04/04/2024 16:28:52,RROREAS 229B,27080485,%P%01CRM3DW,449.71,100.0,gold,concentration,11.799,0.235,11.95,0.3,PhotonAssay Self-Certified PAAU02,0.987,0.025,OREAS,229b,Result OK,PAAU02,2024-04-04-16:27:48,0.478,Active
2024-04-04 14:54:15,04/04/2024 16:28:52,RRBLANK,27080485,%P%1000HW8M,567.9,100.0,gold,concentration,-0.006,0.004,0.0,0.005,PhotonAssay Self-Certified PAAU02,-inf,inf,BLANK,BLANK,Result OK,PAAU02,2024-04-04-16:27:48,,Active
2024-04-04 14:29:06,04/04/2024 14:31:04,RRG319-9,27080484,%P%01CRM3UA,552.94,100.0,gold,concentration,95.422,1.582,100.0,2.5,PhotonAssay Self-Certified PAAU02,0.954,0.025,GEOSTATS,G319-9,Result OK,PAAU02,2024-04-04-08:58:03,4.0,Active
2024-04-04 14:04:58,04/04/2024 14:06:43,RROREAS 237,27080484,%P%01CRM33U,491.91,99.85,gold,concentration,2.11,0.072,2.21,0.084,PhotonAssay Self-Certified PAAU02,0.955,0.038,OREAS,237,Result OK,PAAU02,2024-04-04-08:58:03,0.1657499999999999,Active
2024-04-04 13:42:18,04/04/2024 13:44:10,RRBLANK,27080484,%P%1000HWB8,548.3,100.0,gold,concentration,-0.001,0.006,0.0,0.005,PhotonAssay Self-Certified PAAU02,-inf,inf,BLANK,BLANK,Result OK,PAAU02,2024-04-04-08:58:03,,Active
